,Study,Authors,Year,Source,City_Region,Country,Climate,Number_Participants,Male,Female,Age,Occupation,Anthropometric_Data,Health_Status,Clothing_Insulation,Clothing_Insulation2,Exposure_Time,Measure,Measure_Type,Metric,SA,TLow_C,THigh_C,TLow_F,THigh_F,PLow,PHigh
1,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction time,Sustained Attention,RT,Speed,21.7,25.2,71.06,77.36,280.278,277.765
2,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction time,Sustained Attention,RT,Speed,25.2,28.6,77.36,83.48,277.765,283.849
3,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction time,Sustained Attention,RT,Speed,21.7,25.2,71.06,77.36,433.741,444.952
4,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction time,Sustained Attention,RT,Speed,25.2,28.6,77.36,83.48,444.952,452.519
5,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction stroop,Inhibition,RT,Speed,21.7,25.2,71.06,77.36,719.59,784.256
6,19-Wa,"Wang, Li, Menassa, Kamat",2019,Building and Environment,Michigan,USA,Continental,15,NA,NA,NA,Students,NO,YES,NA,0.55,120,Choice reaction stroop,Inhibition,RT,Speed,25.2,28.6,77.36,83.48,784.256,787.11
7,18-Na,"Nayak, Zhang, Mao, Xu, Zhang",2018,Brain sciences,Texas,USA,Temperate,7,7,0,23.5,Students,NO,YES,NA,0.47,155,Addition,Mathematical Reasoning,T,Speed,22.2,30,71.96,86,83.071,83.657
8,18-Na,"Nayak, Zhang, Mao, Xu, Zhang",2018,Brain sciences,Texas,USA,Temperate,7,7,0,23.5,Students,NO,YES,NA,0.47,155,Text typing,Simulated Work,NOE,Speed,22.2,30,71.96,86,179.693,189.653
9,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Choice reaction time,Sustained Attention,RT,Speed,23.1,25.8,73.58,78.44,202.14,244.08
10,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Choice reaction time,Sustained Attention,RT,Speed,25.8,28.8,78.44,83.84,244.08,220.35
11,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Finger tapping,Motor Control,NOE,Speed,23.1,25.8,73.58,78.44,6.057,6.319
12,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Finger tapping,Motor Control,NOE,Speed,25.8,28.8,78.44,83.84,6.319,6.197
13,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Choice reaction time,Sustained Attention,RT,Speed,25.8,28.8,78.44,83.84,241.57,217.29
14,17-Sch,"Schiavon, Yang, Donner, Chang, Nazaroff",2017,Indoor Air,Singapore,Singapore,Tropical,56,28,28,24.7,Students,YES,NO,0.7,0.7,90,Finger tapping,Motor Control,NOE,Speed,25.8,28.8,78.44,83.84,6.22,6.26
15,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Mental redirection,Spatial Memory,NOE,Speed,27.1,35.5,80.78,95.9,48.5,49.1
16,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Grammatical reasoning,Grammatical Reasoning,NOE,Speed,27.1,35.5,80.78,95.9,8.3,9.1
17,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Stroop,Inhibition,NOE,Speed,27.1,35.5,80.78,95.9,24,23.3
18,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Addition & subtraction,Mathematical Reasoning,NOE,Speed,27.1,35.5,80.78,95.9,21.1,20.2
19,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Multiplication,Mathematical Reasoning,NOE,Speed,27.1,35.5,80.78,95.9,5.7,6.1
20,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Visual reaction time,Sustained Attention,NOE,Speed,27.1,35.5,80.78,95.9,92.9,94.5
21,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Visual learning memory,Recognition Memory,RT,Speed,27.1,35.5,80.78,95.9,90.5,90.2
22,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Stroop,Inhibition,NOE,Speed,27.1,35.5,80.78,95.9,27.6,27.9
23,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Calculation,Mathematical Reasoning,NOE,Speed,27.1,35.5,80.78,95.9,15.3,14.8
24,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,d2 test,Visual Searching,NOE,Speed,27.1,35.5,80.78,95.9,644,634
25,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,27.1,35.5,80.78,95.9,13.6,13.8
26,17-Liu,"Liu, Zhong, Wargocki",2017,Building and Environment,Copenhagen,Denmark,Temperate,12,6,6,24.8,Students,YES,YES,0.42,0.42,180,Tsai-Partington,Visual Searching,NOE,Speed,27.1,35.5,80.78,95.9,1.7,1.3
27,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Icon matching,Visual Searching,RT,Speed,17.9,20,64.22,68,11.72,11.45
28,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Icon matching,Visual Searching,RT,Speed,20,22.3,68,72.14,11.45,12.23
29,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Icon matching,Visual Searching,RT,Speed,22.3,24.1,72.14,75.38,12.23,12.35
30,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Icon matching,Visual Searching,RT,Speed,24.1,26.2,75.38,79.16,12.35,14.23
31,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Icon matching,Visual Searching,RT,Speed,26.2,27.7,79.16,81.86,14.23,12.99
32,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RT,Speed,17.9,20,64.22,68,2,2.07
33,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RT,Speed,20,22.3,68,72.14,2.07,1.95
34,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RT,Speed,22.3,24.1,72.14,75.38,1.95,2.13
35,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RT,Speed,24.1,26.2,75.38,79.16,2.13,2.07
36,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Addition,Mathematical Reasoning,RT,Speed,26.2,27.7,79.16,81.86,2.07,2.26
37,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Text memory & typing,Working Memory,RT,Speed,17.9,20,64.22,68,1.93,1.93
38,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Text memory & typing,Working Memory,RT,Speed,20,22.3,68,72.14,1.93,1.97
39,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Text memory & typing,Working Memory,RT,Speed,22.3,24.1,72.14,75.38,1.97,1.92
40,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Text memory & typing,Working Memory,RT,Speed,24.1,26.2,75.38,79.16,1.92,2.01
41,17-Ge,"Geng, Ji, Lin, Zhu",2017,Building and Environment,Beijing,China,Continental,21,12,9,21.7,NA,YES,NO,1.15,1.15,120,Text memory & typing,Working Memory,RT,Speed,26.2,27.7,79.16,81.86,2.01,2.16
42,15-Ma,"Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,Indoor Air,Turku,Finland,Continental,33,17,16,23,Students,NO,NO,0.83,0.83,210,Text typing,Simulated Work,NOE,Speed,23.5,29.5,74.3,85.1,2640,2690
43,15-Ma,"Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,Indoor Air,Turku,Finland,Continental,33,17,16,23,Students,NO,NO,0.83,0.83,210,Star counting,Dual Task,T,Speed,23.5,29.5,74.3,85.1,56.1,54.6
44,15-Ma,"Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,Indoor Air,Turku,Finland,Continental,33,17,16,23,Students,NO,NO,0.83,0.83,210,Vigilance,Sustained Attention,RT,Speed,23.5,29.5,74.3,85.1,461,449
45,15-Ma,"Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,Indoor Air,Turku,Finland,Continental,33,17,16,23,Students,NO,NO,0.83,0.83,210,Operation span N-back,Working Memory,RT,Speed,23.5,29.5,74.3,85.1,482,515
46,15-Tr,"Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,AGE,Sao Paulo,Brazil,Temperate,68,21,47,73.3,NA,YES,YES,NA,NA,180,Pattern recognition memory,Recognition Memory,RT,Speed,23.8,32.1,74.84,89.78,3035.22,3137.67
47,15-Tr,"Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,AGE,Sao Paulo,Brazil,Temperate,68,21,47,73.3,NA,YES,YES,NA,NA,180,Choice reaction time,Sustained Attention,RT,Speed,23.8,32.1,74.84,89.78,395.01,397.85
48,15-Tr,"Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,AGE,Sao Paulo,Brazil,Temperate,68,21,47,73.3,NA,YES,YES,NA,NA,180,Spatial span,Spatial Reasoning,T,Speed,23.8,32.1,74.84,89.78,4487.29,4383.59
49,15-Tr,"Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,AGE,Sao Paulo,Brazil,Temperate,68,21,47,73.3,NA,YES,YES,NA,NA,180,Rapid visual processing,Sustained Attention,RT,Speed,23.8,32.1,74.84,89.78,547.08,555.79
50,11-Lan,"Lan, Wargocki, Lian",2011,Energy and Buildings,NA,China,Continental,12,6,6,23,NA,NO,YES,0.9,0.9,270,Text typing,Simulated Work,RT,Speed,23.3,31.1,73.94,87.98,0.538,0.528
